Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Mercedes-Benz EQS 450+,N/A,,https://ev-database.org/car/2008/Mercedes-Benz-EQS-450plus,Jun 2023 - Nov 2023,Jun 2023 - Apr 2024,Jun 2023 - Apr 2024,184 Wh/km,233 Wh/km,205 Wh/km,122 Wh/km,178 Wh/km,148 Wh/km,475 km,15 min,227 km,702 km,4h 19min,2h 4min,6h 38min,,Lithium-ion,432,400 V,10 years,"250,000 km",108.4 kWh,NMC811,108s4p,396 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,950 km/h,207 kW DC,169 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,6.1 sec,210 km/h,635 km,265 kW (360 PS),568 Nm,Rear,No,-,-,-,No,No,No,No,635 km,171 Wh/km,0 g/km,1.9 l/100km,627 km,199 Wh/km,173 Wh/km,2.2 l/100km,1.9 l/100km,5216 mm,1926 mm,2125 mm,1512 mm,3210 mm,2515 kg,3025 kg,585 kg,620 L,1700 L,0 L,100 kg,Yes,750 kg,750 kg,No Data,5 people,No Data,10.9 m,Mercedes-Benz EVA2,Yes,Sedan,F - Luxury,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,96%,91%,2021,76%,80%,,,,,,,,,,,2620 kg,47% / 53%,1240 kg,1380 kg,,,120.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11h45m,,,,,,,,,,,,11.0,0,0
Renault Zoe R240,N/A,,https://ev-database.org/car/1050/Renault-Zoe-R240,Jun 2015 - Jan 2017,Oct 2015 - Nov 2016,Jun 2015 - Nov 2016,161 Wh/km,233 Wh/km,194 Wh/km,106 Wh/km,179 Wh/km,137 Wh/km,102 km,N/A,N/A,102 km,56min,N/A,56min,25.9 kWh,Lithium-ion,192,400 V,No Data,No Data,23.3 kWh,No Data,96s2p,350 V,No Data,No Data,-,-,22 kW AC,,-,-,-,No,No,-,No,No,13.5 sec,135 km/h,145 km,65 kW (88 PS),220 Nm,Front,No,-,-,-,No,No,No,No,145 km,161 Wh/km,0 g/km,1.8 l/100km,240 km,No Data,97 Wh/km,No Data,1.1 l/100km,4084 mm,1730 mm,No Data,1562 mm,2588 mm,1502 kg,1966 kg,539 kg,338 L,1225 L,No Data,No Data,No Data,No Data,No Data,No Data,5 people,No Data,10.6 m,No Data,No Data,Hatchback,B - Compact,No Data,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,89%,80%,2013,66%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1h15m,,,,,,,,,22.0,0,0
BMW iX3 (MY21),N/A,,https://ev-database.org/car/1136/BMW-iX3,Not Available,Feb 2021 - Sep 2021,Nov 2020 - Sep 2021,,,,,,,278 km,15 min,126 km,403 km,2h 31min,1h 9min,3h 55min,80.0 kWh,Lithium-ion,No Data,400 V,No Data,No Data,74.0 kWh,NMC811,No Data,400 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,460 km/h,155 kW DC,94 kW DC,Yes,No,-,Yes,No Data,6.8 sec,180 km/h,,210 kW (286 PS),400 Nm,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,460 km,185 Wh/km,161 Wh/km,2.1 l/100km,1.8 l/100km,4734 mm,1891 mm,No Data,1668 mm,2864 mm,2260 kg,2725 kg,540 kg,510 L,1560 L,0 L,100 kg,Yes,750 kg,750 kg,75 kg,5 people,"Yes, 2 seats",12.1 m,BMW CLAR,No,SUV,JD - Large,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,192 Wh/km,269 Wh/km,228 Wh/km,132 Wh/km,211 Wh/km,168 Wh/km,,385 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Hyundai IONIQ 5 Long Range 2WD (MY22),N/A,,https://ev-database.org/car/1662/Hyundai-IONIQ-5-Long-Range-2WD,Jun 2022 - Jul 2024,Apr 2022 - Jul 2024,Jun 2022 - Aug 2024,190 Wh/km,264 Wh/km,224 Wh/km,129 Wh/km,208 Wh/km,166 Wh/km,282 km,15 min,205 km,487 km,2h 34min,1h 52min,4h 41min,77.4 kWh,Lithium-ion,384,800 V,8 years,"160,000 km",,NMC,192s2p,697 V,Pouch,No Data,CCS,Right Side - Rear,11 kW AC,,960 km/h,233 kW DC,196 kW DC,Yes,No,-,Yes,Yes,7.3 sec,185 km/h,390 km,168 kW (228 PS),350 Nm,Rear,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,No,No,No,No,390 km,190 Wh/km,0 g/km,2.1 l/100km,476 km,180 Wh/km,155 Wh/km,2.0 l/100km,1.7 l/100km,4635 mm,1890 mm,2152 mm,1605 mm,3000 mm,2010 kg,2450 kg,515 kg,527 L,1578 L,57 L,80 kg,Yes,750 kg,1600 kg,100 kg,5 people,"Yes, 2 seats",12 m,HMG E-GMP,Yes,SUV,JC - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,74.0 kWh,,,,88%,86%,2021,63%,88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Cadillac OPTIQ 500 E4 (MY26),N/A,,https://ev-database.org/car/3371/Cadillac-OPTIQ-500-E4,Not Available,Not Available,Since October 2025,205 Wh/km,288 Wh/km,242 Wh/km,143 Wh/km,227 Wh/km,181 Wh/km,262 km,15 min,96 km,359 km,2h 23min,53min,3h 31min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",75.0 kWh,NMC,No Data,No Data,Pouch,No Data,CCS,Left Side - Front,22 kW AC,,410 km/h,110 kW DC,90 kW DC,Yes,No,-,Yes,Yes,6.7 sec,184 km/h,365 km,224 kW (305 PS),480 Nm,AWD,No,-,-,-,No,No,No,No,365 km,205 Wh/km,0 g/km,2.3 l/100km,425 km,199 Wh/km,176 Wh/km,2.2 l/100km,2.0 l/100km,4820 mm,1912 mm,2134 mm,1643 mm,2954 mm,2376 kg,2900 kg,599 kg,443 L,1340 L,0 L,No Data,Yes,No Data,680 kg,No Data,5 people,No Data,12.1 m,GM BEV3,Yes,SUV,JD - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,83%,81%,2025,76%,74%,,,,,,,,,,,,,,,,,79.0 kWh,4 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Kia e-Niro 39 kWh,N/A,,https://ev-database.org/car/1262/Kia-e-Niro-39-kWh,Jul 2020 - Dec 2020,Not Available,Jan 2020 - Dec 2020,,,,,,,168 km,15 min,47 km,215 km,1h 32min,26min,2h 13min,,Lithium-ion,No Data,400 V,7 years,"150,000 km",39.2 kWh,No Data,No Data,330 V,No Data,No Data,CCS,Front Side - Middle,7.2 kW AC,,210 km/h,44 kW DC,37 kW DC,Yes,No,-,No,No,9.8 sec,155 km/h,,100 kW (136 PS),395 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,289 km,153 Wh/km,136 Wh/km,1.7 l/100km,1.5 l/100km,4375 mm,1805 mm,No Data,1570 mm,2700 mm,1667 kg,2080 kg,488 kg,451 L,1405 L,0 L,100 kg,No Data,0 kg,0 kg,No Data,5 people,"Yes, 2 seats",10.6 m,No Data,No Data,SUV,JC - Medium,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,83%,80%,2016,57%,59%,,,167 Wh/km,238 Wh/km,196 Wh/km,110 Wh/km,182 Wh/km,143 Wh/km,,235 km,,,,,,,42.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0,0
MG MG5 Electric Standard Range,N/A,,https://ev-database.org/car/1646/MG-MG5-Electric-Standard-Range,Not Available,Jun 2022 - Jun 2025,Jun 2022 - Apr 2025,174 Wh/km,242 Wh/km,204 Wh/km,115 Wh/km,192 Wh/km,151 Wh/km,191 km,15 min,66 km,256 km,1h 44min,36min,2h 35min,50.3 kWh,Lithium-ion,No Data,400 V,No Data,No Data,,LFP,No Data,No Data,No Data,No Data,CCS,Front Side - Middle,11 kW AC,5 hours,280 km/h,63 kW DC,52 kW DC,Yes,No,-,No,No,7.7 sec,185 km/h,265 km,130 kW (177 PS),280 Nm,Front,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,265 km,174 Wh/km,0 g/km,2.0 l/100km,310 km,184 Wh/km,148 Wh/km,2.1 l/100km,1.7 l/100km,4600 mm,1818 mm,2059 mm,1543 mm,2659 mm,1637 kg,2017 kg,455 kg,479 L,1367 L,0 L,75 kg,Yes,500 kg,500 kg,50 kg,5 people,"Yes, 2 seats",No Data,No Data,No Data,Station/Estate,C - Medium,Yes,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,46.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Mini Cooper SE,N/A,,https://ev-database.org/car/1409/Mini-Cooper-SE,Mar 2021 - Feb 2024,Mar 2021 - Feb 2024,Mar 2021 - Feb 2024,,,,,,,128 km,15 min,54 km,183 km,1h 10min,30min,1h 55min,32.6 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",28.9 kWh,NMC,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,250 km/h,49 kW DC,43 kW DC,Yes,No,-,No,No,7.3 sec,150 km/h,,135 kW (184 PS),270 Nm,Front,No,-,-,-,No,No,No,No,,,0 g/km,,203 km,176 Wh/km,142 Wh/km,2.0 l/100km,1.6 l/100km,3850 mm,1727 mm,No Data,1432 mm,2495 mm,1440 kg,1775 kg,410 kg,211 L,731 L,0 L,No Data,No Data,0 kg,0 kg,No Data,4 people,No Data,10.7 m,No Data,No Data,Hatchback,B - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,161 Wh/km,231 Wh/km,193 Wh/km,105 Wh/km,175 Wh/km,138 Wh/km,,180 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Lexus ES 500e DIRECT 4 (MY26),N/A,,https://ev-database.org/car/3493/Lexus-ES-500e-DIRECT-4,Not Available,Since March 2026,Not Available,192 Wh/km,259 Wh/km,222 Wh/km,131 Wh/km,203 Wh/km,165 Wh/km,273 km,15 min,133 km,405 km,2h 29min,1h 12min,3h 56min,75.0 kWh,Lithium-ion,No Data,400 V,15 years,"1,000,000 km",,NMC,No Data,No Data,No Data,No Data,CCS,Left Side - Front,22 kW AC,,500 km/h,150 kW DC,100 kW DC,No Data,No,-,Yes,Yes,5.5 sec,180 km/h,375 km,252 kW (343 PS),439 Nm,AWD,No,-,-,-,No,No,No,No,375 km,187 Wh/km,0 g/km,2.1 l/100km,529 km,158 Wh/km,132 Wh/km,1.8 l/100km,1.5 l/100km,5140 mm,1920 mm,No Data,1560 mm,2950 mm,2280 kg,2735 kg,530 kg,517 L,No Data,0 L,No Data,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",No Data,Toyota GA-K,No,Sedan,E - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,70.0 kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0,0
Peugeot e-5008 97 kWh Long Range,N/A,,https://ev-database.org/car/2151/Peugeot-e-5008-97-kWh-Long-Range,Since November 2024,Since October 2024,Since October 2024,200 Wh/km,277 Wh/km,236 Wh/km,137 Wh/km,220 Wh/km,176 Wh/km,351 km,15 min,145 km,496 km,3h 11min,1h 19min,4h 45min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",96.9 kWh,NMC,No Data,No Data,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,630 km/h,160 kW DC,135 kW DC,Yes,No,-,Yes,Yes,9.6 sec,170 km/h,485 km,170 kW (231 PS),345 Nm,Front,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,485 km,200 Wh/km,0 g/km,2.2 l/100km,637 km,191 Wh/km,152 Wh/km,2.1 l/100km,1.7 l/100km,4791 mm,1895 mm,No Data,1694 mm,2910 mm,2316 kg,2940 kg,699 kg,348 L,2232 L,0 L,80 kg,Yes,750 kg,1000 kg,80 kg,7 people,"Yes, 3 seats",11.2 m,STLA Medium,No,SUV,JD - Large,Yes,Yes,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,82%,85%,2025,79%,62%,,,,,,,,,,,,,,,,,101.0 kWh,,,,,,,,,,,,,10h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volvo EX90 Twin Motor (MY24-25),N/A,,https://ev-database.org/car/1775/Volvo-EX90-Twin-Motor,Dec 2022 - Nov 2025,Dec 2022 - Oct 2025,Dec 2022 - Sep 2025,,,,,,,366 km,15 min,180 km,546 km,3h 20min,1h 38min,5h 13min,111.0 kWh,Lithium-ion,204,400 V,8 years,"160,000 km",107.0 kWh,NMC,102s2p,No Data,Prismatic,No Data,CCS,Left Side - Rear,11 kW AC,,660 km/h,250 kW DC,150 kW DC,Yes,No,-,Yes,Yes,5.9 sec,180 km/h,,300 kW (408 PS),770 Nm,AWD,Announced,No Data,No Data,No Data,Announced,Announced,Announced,Announced,,,0 g/km,,570 km,220 Wh/km,188 Wh/km,2.5 l/100km,2.1 l/100km,5037 mm,1964 mm,2113 mm,1744 mm,2985 mm,2754 kg,3390 kg,711 kg,669 L,1915 L,34 L,100 kg,Yes,750 kg,2200 kg,100 kg,7 people,"Yes, 4 seats",11.8 m,Volvo SPA2,Yes,SUV,JF - Luxury,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,92%,93%,2025,82%,86%,,,214 Wh/km,293 Wh/km,249 Wh/km,149 Wh/km,233 Wh/km,188 Wh/km,,505 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
XPENG G9 RWD Standard Range (MY24),N/A,,https://ev-database.org/car/1824/XPENG-G9-RWD-Standard-Range,Not Available,Feb 2023 - Jul 2025,Apr 2024 - Aug 2025,194 Wh/km,266 Wh/km,226 Wh/km,132 Wh/km,211 Wh/km,168 Wh/km,286 km,15 min,192 km,478 km,2h 36min,1h 45min,4h 36min,78.2 kWh,Lithium-ion,No Data,800 V,8 years,"160,000 km",75.8 kWh,LFP,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,830 km/h,260 kW DC,170 kW DC,Yes,No,-,Yes,Yes,6.4 sec,200 km/h,395 km,230 kW (313 PS),430 Nm,Rear,Yes,-,1 x Type 2 (Adapter),1 x Standard Socket,No,No,No,No,395 km,192 Wh/km,0 g/km,2.2 l/100km,460 km,194 Wh/km,165 Wh/km,2.2 l/100km,1.9 l/100km,4891 mm,1937 mm,No Data,1680 mm,2998 mm,2285 kg,2680 kg,470 kg,660 L,1576 L,71 L,75 kg,Yes,750 kg,1500 kg,75 kg,5 people,"Yes, 2 seats",11.8 m,XPeng X-EEA 3.0,Yes,SUV,JE - Executive,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,85%,85%,2023,78%,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Opel Vivaro-e Combi S 50 kWh,N/A,,https://ev-database.org/car/1599/Opel-Vivaro-e-Combi-S-50-kWh,Not Available,Not Available,Oct 2020 - Oct 2021,232 Wh/km,370 Wh/km,289 Wh/km,168 Wh/km,299 Wh/km,226 Wh/km,125 km,15 min,64 km,189 km,1h 8min,35min,1h 58min,50.0 kWh,Lithium-ion,216,400 V,8 years,"160,000 km",46.3 kWh,NMC622,108s2p,400 V,Prismatic,No Data,CCS,Left Side - Front,7.4 kW AC,,270 km/h,101 kW DC,74 kW DC,Yes,No,-,No,No,12.1 sec,130 km/h,185 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,185 km,250 Wh/km,0 g/km,2.8 l/100km,230 km,No Data,201 Wh/km,No Data,2.3 l/100km,4606 mm,1920 mm,2204 mm,1905 mm,2925 mm,1932 kg,2855 kg,998 kg,140 L,2625 L,0 L,0 kg,Yes,750 kg,1000 kg,60 kg,9 people,"Yes, 3 seats",11.3 m,PSA EMP2,No,Small Passenger Van,N - Passenger Van,No,No,-,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Changan Deepal S05 RWD,N/A,,https://ev-database.org/car/3367/Changan-Deepal-S05-RWD,Since March 2026,Since December 2025,Since September 2025,181 Wh/km,247 Wh/km,209 Wh/km,120 Wh/km,192 Wh/km,153 Wh/km,279 km,15 min,170 km,448 km,2h 32min,1h 33min,4h 20min,68.8 kWh,Lithium-ion,No Data,400 V,8 years,"200,000 km",,LFP,No Data,379 V,Prismatic,No Data,CCS,Right Side - Rear,11 kW AC,,700 km/h,200 kW DC,130 kW DC,No,No,-,Yes,Yes,7.5 sec,180 km/h,385 km,200 kW (272 PS),290 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,385 km,177 Wh/km,0 g/km,2.0 l/100km,485 km,159 Wh/km,140 Wh/km,1.8 l/100km,1.6 l/100km,4598 mm,1900 mm,No Data,1600 mm,2880 mm,2015 kg,2370 kg,430 kg,492 L,1250 L,159 L,0 kg,Yes,750 kg,1600 kg,75 kg,5 people,"Yes, 3 seats",11.6 m,Changan EPA1,No,SUV,JC - Medium,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,68.0 kWh,,,,94%,87%,2025,78%,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
